input_text,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit
Support 👇  #FarmersProtest,0.00048,0.0,4e-05,7e-05,0.0001,2e-05,2e-05
Supporting farmers means supporting our country #StopHateAgainstFarmers #FarmersProtest https://t.co/iWPatTK6NV,0.00084,0.0,4e-05,0.00013,0.00019,3e-05,1e-05
Support farmers if you are related to food #StopHateAgainstFarmers #FarmersProtest https://t.co/TcoZx4ZmyU,0.00077,0.0,4e-05,0.00013,0.00017,3e-05,2e-05
#StopHateAgainstFarmers support #FarmersProtest by pressurising got. to accept farmer's genuine demand.,0.0008,0.0,4e-05,0.00012,0.00019,3e-05,1e-05
"You hate farmers I hate you,  if you love them I love you! ;)   #StopHateAgainstFarmers  #FarmersProtest",0.63937,0.00022,0.02218,0.02685,0.11524,0.00733,0.00117
They can't be farmers. Looks like Gundas are having good time. They seem to be violence thirsty goons. #FarmersProtest twitter.com/IndiaToday/sta…,0.20596,2e-05,0.00289,0.00397,0.15853,0.00022,0.00029
Lets not forget that our Farmers are STILL out there protesting.  Please pray for them.   #FarmersProtest https://t.co/BP95cPmftD,0.001,0.0,5e-05,9e-05,0.00021,3e-05,2e-05
@Troll48611422 @Doabapunjab1 @Terminator00096 @HarjasK1 @_theshivatribe_ @Arshdee00485709 @tamankaur_ @sukhisukhii @WalterW28442171 @amaanbali thats your best comeback ?😂 lol so the only word you could understand was “yo” oh my my nd who the eef r u to tell me which language i should be talk in?  u lil piece of 💩   #FarmersProtest #StopHateAgainstFarmers https://t.co/3U0Cg5XYKq,0.2491,0.00022,0.13847,0.00176,0.03486,0.00037,0.00346
"Neutrality helps the oppressor, never the victim.   Silence encourages the tormentor, never the tormented  Speak up for FARMERS  #FarmersProtest   03:28:09",0.00055,0.0,4e-05,0.0001,0.00011,2e-05,2e-05
Why You Should Visit the F.A.R.M.E.R. at Tikri Border at Least Once   #StopHateAgainstFarmers  #FarmersProtest   thewire.in/rights/tikri-b… via @thewire_in,0.05237,5e-05,0.0096,0.00248,0.00676,0.00041,0.00075
Stop asking God to bless what you're doing. Find out what God's doing. It's already blessed.  #FarmersProtest    #StopHateAgainstFarmers https://t.co/GW0NsFBdK6,0.001,1e-05,0.0001,0.00018,0.0002,3e-05,5e-05
"Great read to gain a better understanding on the religious angle Modi Govnt, Godi media and BJP has given the #FarmersProtest.  This is how they turn something positive and honest into dirty politics.  #StopHateAgainstFarmers #FarmersProtest twitter.com/Harjit__Kaur/s…",0.0636,1e-05,0.00083,0.00094,0.03602,8e-05,0.00016
#होली_के_रंग_किसानों_के_संग #ModiLies #FarmersProtest Modi deserves to be thrown out of the the government . Parliament should be dissolved. BJP has done nothing positive for the people of India.,0.0052,0.0,0.00013,0.00043,0.00054,0.00031,3e-05
"@iaminnocentkid Yogi Raaz, Modi Raaz what else u can expect from dangaii PM se.#FarmersProtest #GoBackModi",0.00311,1e-05,0.00034,0.00021,0.0003,7e-05,7e-05
Start Love With Farmers. Stop Hate Against Farmers #StopHateAgainstFarmers #FarmersProtest,0.00436,0.0,0.00011,0.00044,0.00051,0.00012,4e-05
