,input_text,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit
0,"Support Our Farmers Repeal 3 Farm Bills, 2020 Boycott #GodiMedia (Lapdog Media)   #HitlerModiAgainstFarmers #FarmersProtest   ⭕️⭕️🟢 twitter.com/Bkuektaugrahan…",0.00069,0.0,6e-05,0.0001,0.00018,2e-05,2e-05
1,Indian people please support farmers  #FarmersAboveReligiousHate  #FarmersProtest https://t.co/M0pCyoaiOi,0.00264,0.0,5e-05,0.00075,0.00039,4e-05,2e-05
2,Bail granted to wrongly detained youth in #FarmersProtest.    #FarmersAboveReligiousHate https://t.co/ZUe6O2m0o5,0.00078,0.0,4e-05,0.00012,0.00019,2e-05,2e-05
3,"Ever since the #FarmersProtest started last year I have been in support of farmers. But what has happened today morning at #SinghuBorder is barbaric, devastating and totally unacceptable. I can't even post the pics or videos as they are so horrific.  #JusticeForLakhbirSingh",0.02967,0.0,0.00032,0.00092,0.00893,0.00014,9e-05
4,#FarmersProtest Vs Modi Salman #KisanNahiToDeshNahi Comedy #KisanAandolan BJP Jumla Party. https://t.co/7HQXwM2EaU,0.00069,0.0,7e-05,8e-05,0.00016,2e-05,2e-05
5,Blog dedicated to our Anndata and farmers. How they are serving humanity. #FarmerProtests #FarmersProtest #AssamAssemblyPolls #AssemblyElections2021 #Agriculture @Khalsa_Aid @Kisanektamorcha @mssirsa theblogauthor.com/ekka-unity-and… https://t.co/qeLTjrIiZm,0.00053,0.0,4e-05,9e-05,0.00014,2e-05,1e-05
6,#IndiaAganistBJPLoot #FarmersProtest @raghav_chadha @yadavakhilesh @aimim_national  @thewire_in @ndtvindia @BBCHindi  JUMLA PARTY GET WELL SOON twitter.com/AkhileshPSingh…,0.01579,1e-05,0.00218,0.00054,0.0026,0.00016,0.00025
7,"2. Madam #EktaKapoor thinks this is the time to come together coz farmers protesting for the last 2 months have suddenly found support in #Rihanna. And hey, this is not a paid tweet at all... Or a tweet made on someone's order. This is her heart speaking... 💕 #FarmersProtest twitter.com/ektarkapoor/st…",0.00139,0.0,0.0001,0.00014,0.00042,2e-05,3e-05
8,#FarmersProtest  #chennai @arivalayam  @mkstalin @ptrmadurai  @isai_  @ThamizhmaranA @avprameshbabu   perambur constituency started the protest for the welfare of farmers . https://t.co/Rgwi1sqC5l,0.00059,0.0,4e-05,9e-05,0.00015,2e-05,1e-05
9,"@redmayne_robert Thank you for your fantastic support and solidarity, Robert! #StandWithFarmers #FarmersProtest! ❤️🌍🌏🌎🌳🌱🌿💮🏵️🌺🌻🌞🦋",0.00055,0.0,4e-05,8e-05,0.00015,2e-05,1e-05
10,#FarmersProtest   Believed equality for all 🙁 Before discrimination https://t.co/cL4Nze00wi,0.00056,0.0,2e-05,0.00013,0.00012,2e-05,2e-05
